underlying_group,underlying_name_cn,industry_name,asset_count,preferred_asset_id,preferred_symbol,preferred_name_cn,preferred_asset_type,all_asset_ids,mapping_status
GOLD,黄金,贵金属,23,FUT_SHFE_AU,AU,沪金,FUTURE,FUT_SHFE_AU;OPT_SHFE_AU;ETF_SSE_517400;ETF_SSE_517520;ETF_SSE_518600;ETF_SSE_518660;ETF_SSE_518680;ETF_SSE_518800;ETF_SSE_518850;ETF_SSE_518860;ETF_SSE_518880;ETF_SSE_518890;ETF_SZSE_159315;ETF_SZSE_159321;ETF_SZSE_159322;ETF_SZSE_159562;ETF_SZSE_159812;ETF_SZSE_159830;ETF_SZSE_159831;ETF_SZSE_159833;ETF_SZSE_159834;ETF_SZSE_159934;ETF_SZSE_159937,MAPPED
HARD_WHEAT,硬麦,农产品,1,FUT_CZCE_WT,WT,硬麦,FUTURE,FUT_CZCE_WT,MAPPED
HOT_ROLLED_COIL,热轧卷板,黑色产业链 / 建材,1,FUT_SHFE_HC,HC,热轧卷板,FUTURE,FUT_SHFE_HC,MAPPED
INDUSTRIAL_SILICON,工业硅,新能源,2,FUT_GFEX_SI,SI,工业硅,FUTURE,FUT_GFEX_SI;OPT_GFEX_SI,MAPPED
IRON_ORE,铁矿石,黑色产业链,2,FUT_DCE_I,I,铁矿石,FUTURE,FUT_DCE_I;OPT_DCE_I,MAPPED
JAPONICA_RICE,粳米,农产品,2,FUT_CZCE_JR,JR,粳稻,FUTURE,FUT_CZCE_JR;FUT_DCE_RR,MAPPED
JUJUBE,红枣,农产品,2,FUT_CZCE_CJ,CJ,红枣,FUTURE,FUT_CZCE_CJ;OPT_CZCE_CJ,MAPPED
LATE_INDICA_RICE,晚籼稻,农产品,1,FUT_CZCE_LR,LR,晚籼稻,FUTURE,FUT_CZCE_LR,MAPPED
LEAD,铅,有色产业链,2,FUT_SHFE_PB,PB,沪铅,FUTURE,FUT_SHFE_PB;OPT_SHFE_PB,MAPPED
LITHIUM_CARBONATE,碳酸锂,新能源,2,FUT_GFEX_LC,LC,碳酸锂,FUTURE,FUT_GFEX_LC;OPT_GFEX_LC,MAPPED
