品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,SHFE,上海期货交易所,RU,橡胶,323,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RU,橡胶主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RU,橡胶连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡,143,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌,239,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,CF,棉花期权,388,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,MA,甲醇期权,879,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,OI,菜籽油期权,338,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,RM,菜粕期权,502,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,SR,白糖期权,232,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,SR,白糖系列期权,146,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,TA,PTA期权,787,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,A,豆一期权,334,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,B,豆二期权,539,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,C,玉米期权,402,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,C,玉米系列期权,176,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
