asset_id,asset_type,subtype,etf_code,ts_code,name_cn,name_en,exchange_code,exchange_name,country,currency,fund_company,fund_type,invest_type,tracking_index_code,tracking_index_name,underlying_group,nav_available,premium_discount_available,can_subscribe_redeem,creation_redemption_unit,pcfl_available,tradable,can_long,can_short,data_source_1,data_source_2,source_status,update_date,notes,etf_importance_level,etf_quality_status,etf_category_refined,underlying_group_review_required,underlying_group_review_reason,is_core_arbitrage_etf,is_etf_option_underlying,classification_method
ETF_SZSE_159780,ETF,BROAD_BASED_ETF,159780,159780.SZ,科创创业50ETF南方,TODO,SZSE,深圳证券交易所,CN,CNY,南方基金,股票型,被动指数型,CHECK,中证科创创业50指数收益率,SSE50,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,MAPPED,OTHER_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159781,ETF,ETF,159781,159781.SZ,科创创业ETF易方达,TODO,SZSE,深圳证券交易所,CN,CNY,易方达基金,股票型,被动指数型,CHECK,中证科创创业50指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159782,ETF,BROAD_BASED_ETF,159782,159782.SZ,双创50ETF银华,TODO,SZSE,深圳证券交易所,CN,CNY,银华基金,股票型,被动指数型,CHECK,中证科创创业50指数收益率,SSE50,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,MAPPED,OTHER_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159783,ETF,BROAD_BASED_ETF,159783,159783.SZ,科创创业50ETF华夏,TODO,SZSE,深圳证券交易所,CN,CNY,华夏基金,股票型,被动指数型,CHECK,中证科创创业50指数收益率,SSE50,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,MAPPED,OTHER_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159786,ETF,ETF,159786,159786.SZ,VRETF银华,TODO,SZSE,深圳证券交易所,CN,CNY,银华基金,股票型,被动指数型,CHECK,中证虚拟现实主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159787,ETF,ETF,159787,159787.SZ,建材ETF易方达,TODO,SZSE,深圳证券交易所,CN,CNY,易方达基金,股票型,被动指数型,CHECK,中证全指建筑材料指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159788,ETF,ETF,159788,159788.SZ,港股通100ETF易方达,TODO,SZSE,深圳证券交易所,CN,CNY,易方达基金,股票型,被动指数型,CHECK,中证港股通中国100指数收益率(使用估值汇率折算),CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,CROSS_BORDER_ETF,N,FOREIGN_MAPPING_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159789,ETF,ETF,159789,159789.SZ,饮料ETF(退市),TODO,SZSE,深圳证券交易所,CN,CNY,建信基金,股票型,被动指数型,CHECK,中证饮料主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159790,ETF,ETF,159790,159790.SZ,碳中和ETF华夏,TODO,SZSE,深圳证券交易所,CN,CNY,华夏基金,股票型,被动指数型,CHECK,中证内地低碳经济主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159791,ETF,BROAD_BASED_ETF,159791,159791.SZ,300ESGETF华夏,TODO,SZSE,深圳证券交易所,CN,CNY,华夏基金,股票型,被动指数型,CHECK,沪深300ESG基准指数收益率,CSI300,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,MAPPED,BROAD_BASED_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159792,ETF,ETF,159792,159792.SZ,港股通互联网ETF富国,TODO,SZSE,深圳证券交易所,CN,CNY,富国基金,股票型,被动指数型,CHECK,中证港股通互联网指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,CROSS_BORDER_ETF,N,FOREIGN_MAPPING_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159793,ETF,ETF,159793,159793.SZ,线上消费ETF平安,TODO,SZSE,深圳证券交易所,CN,CNY,平安基金,股票型,被动指数型,CHECK,中证沪港深线上消费主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159795,ETF,ETF,159795,159795.SZ,智能汽车ETF汇添富,TODO,SZSE,深圳证券交易所,CN,CNY,汇添富基金,股票型,被动指数型,CHECK,中证智能汽车主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
